,Linear,RandomForest,XGBoost
MSLE,0.0021752573351007222,0.0006069708215460708,0.00058766189894909
RMSLE,0.04663965410571483,0.02463677782393775,0.024241738777346193
R2 score,0.6192233180743452,0.8993870665879327,0.9021267038003405
Accuracy(%),61.9223,89.9387,90.2127
